area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
16,43-9021,510.0,20.9,0.626,0.62,19.06,39640.0,3.2,16.55,18.0,22.01,34410.0,37450.0,45790.0
17,43-9021,7780.0,4.9,1.294,1.27,19.31,40170.0,1.4,15.0,17.88,22.43,31200.0,37190.0,46650.0
18,43-9021,3290.0,9.3,1.042,1.03,17.85,37130.0,1.3,14.79,17.37,20.6,30760.0,36140.0,42850.0
19,43-9021,1050.0,11.4,0.681,0.67,18.98,39480.0,1.4,15.83,18.6,22.01,32920.0,38680.0,45770.0
20,43-9021,1100.0,16.4,0.78,0.77,17.35,36080.0,1.6,15.03,17.39,18.85,31250.0,36170.0,39210.0
21,43-9021,2470.0,9.6,1.258,1.24,16.26,33820.0,1.8,13.41,16.66,18.11,27900.0,34650.0,37660.0
22,43-9021,1270.0,10.2,0.688,0.68,17.76,36930.0,1.9,14.24,17.26,20.74,29620.0,35900.0,43130.0
23,43-9021,240.0,11.5,0.389,0.38,20.86,43390.0,2.1,18.5,20.53,22.21,38480.0,42710.0,46190.0
24,43-9021,1980.0,12.4,0.741,0.73,20.33,42290.0,4.4,14.6,18.89,24.06,30370.0,39280.0,50040.0
25,43-9021,2190.0,12.4,0.601,0.59,23.25,48350.0,1.8,19.93,23.47,25.72,41450.0,48810.0,53490.0
26,43-9021,3070.0,6.4,0.705,0.69,19.37,40290.0,1.3,16.5,18.19,21.99,34310.0,37830.0,45750.0
27,43-9021,1420.0,8.1,0.493,0.49,19.83,41240.0,1.7,16.86,18.87,21.96,35070.0,39250.0,45670.0
28,43-9021,640.0,14.1,0.56,0.55,15.34,31900.0,1.6,13.48,15.26,16.59,28040.0,31730.0,34500.0
29,43-9021,2710.0,20.8,0.943,0.93,17.86,37150.0,3.8,15.04,17.0,18.76,31280.0,35360.0,39020.0
30,43-9021,420.0,9.8,0.839,0.83,18.39,38260.0,2.7,16.12,18.15,20.86,33530.0,37760.0,43390.0
31,43-9021,830.0,8.4,0.827,0.81,18.26,37980.0,1.4,16.03,18.38,20.47,33350.0,38240.0,42580.0
32,43-9021,720.0,23.9,0.484,0.48,20.59,42830.0,5.1,17.58,22.6,22.69,36560.0,47000.0,47200.0
33,43-9021,1070.0,8.4,1.58,1.56,18.83,39170.0,1.9,16.63,18.42,20.47,34580.0,38320.0,42570.0
34,43-9021,4490.0,6.5,1.07,1.05,21.17,44040.0,1.1,17.26,20.2,23.96,35900.0,42020.0,49830.0
35,43-9021,480.0,14.5,0.571,0.56,18.3,38070.0,3.9,14.71,17.76,21.3,30590.0,36940.0,44300.0
36,43-9021,8970.0,8.0,0.954,0.94,22.66,47130.0,2.4,17.74,20.63,27.07,36900.0,42910.0,56300.0
37,43-9021,5360.0,4.6,1.117,1.1,17.79,36990.0,1.0,15.0,17.45,20.19,31200.0,36300.0,41990.0
38,43-9021,70.0,8.8,0.159,0.16,19.33,40200.0,3.3,15.87,19.62,23.55,33000.0,40810.0,48980.0
39,43-9021,6790.0,7.4,1.242,1.22,18.53,38550.0,1.7,15.09,18.05,20.69,31400.0,37540.0,43030.0
40,43-9021,2060.0,12.8,1.235,1.22,17.77,36960.0,1.2,15.36,17.29,19.97,31950.0,35960.0,41540.0
41,43-9021,1560.0,6.8,0.805,0.79,21.22,44140.0,2.9,17.98,20.38,22.93,37390.0,42380.0,47700.0
42,43-9021,6730.0,20.7,1.131,1.11,18.56,38590.0,3.0,15.86,18.01,21.15,32980.0,37450.0,43980.0
44,43-9021,380.0,13.8,0.783,0.77,20.63,42900.0,3.6,15.26,20.34,23.84,31730.0,42310.0,49590.0
45,43-9021,1620.0,4.9,0.729,0.72,17.76,36940.0,1.6,14.41,17.04,20.69,29970.0,35430.0,43030.0
47,43-9021,2680.0,10.4,0.832,0.82,18.52,38530.0,1.4,16.03,18.04,21.39,33350.0,37520.0,44490.0
48,43-9021,23780.0,9.5,1.754,1.73,17.36,36100.0,2.1,13.98,16.91,19.16,29090.0,35170.0,39860.0
49,43-9021,2180.0,6.0,1.3,1.28,21.33,44370.0,1.7,15.53,19.42,27.72,32290.0,40390.0,57660.0
50,43-9021,360.0,15.8,1.203,1.18,19.88,41340.0,3.6,18.03,19.12,21.18,37500.0,39780.0,44050.0
51,43-9021,3390.0,15.1,0.851,0.84,16.87,35100.0,3.3,13.38,15.81,19.03,27840.0,32870.0,39580.0
53,43-9021,2680.0,6.9,0.768,0.76,21.45,44610.0,1.1,18.1,21.94,22.71,37640.0,45630.0,47250.0
54,43-9021,830.0,21.0,1.202,1.18,17.17,35720.0,1.9,14.83,17.69,18.0,30840.0,36790.0,37440.0
55,43-9021,2810.0,8.8,0.974,0.96,17.78,36980.0,2.1,14.24,17.46,21.08,29620.0,36310.0,43840.0
56,43-9021,80.0,14.5,0.289,0.28,18.31,38080.0,3.4,13.48,17.28,20.34,28050.0,35930.0,42310.0
1,45-0000,5980.0,4.6,2.911,1.02,20.54,42720.0,1.7,15.04,17.84,24.16,31270.0,37100.0,50250.0
2,45-0000,380.0,15.3,1.226,0.43,24.21,50350.0,3.2,17.24,21.1,27.72,35850.0,43890.0,57660.0
4,45-0000,8570.0,6.8,2.739,0.96,18.19,37840.0,1.9,14.83,16.15,18.09,30850.0,33590.0,37630.0
5,45-0000,4720.0,3.8,3.714,1.3,18.85,39200.0,1.5,14.0,17.55,21.43,29120.0,36500.0,44580.0
6,45-0000,204930.0,1.1,11.42,4.01,18.55,38590.0,0.7,16.11,16.84,18.34,33500.0,35020.0,38150.0
8,45-0000,4150.0,6.8,1.466,0.52,20.84,43350.0,2.8,16.69,18.3,22.85,34710.0,38060.0,47520.0
9,45-0000,880.0,11.5,0.531,0.19,20.3,42210.0,2.4,15.0,17.0,23.22,31200.0,35350.0,48300.0
10,45-0000,950.0,5.7,2.016,0.71,19.19,39910.0,1.5,14.58,17.83,21.8,30320.0,37080.0,45340.0
11,45-0000,230.0,26.1,0.323,0.11,26.99,56130.0,4.4,19.71,25.19,33.58,41000.0,52390.0,69850.0
12,45-0000,17730.0,6.0,1.853,0.65,16.58,34490.0,1.5,13.18,14.3,17.41,27420.0,29750.0,36210.0
13,45-0000,9760.0,5.9,2.051,0.72,20.95,43570.0,1.8,14.88,17.71,23.46,30960.0,36840.0,48800.0
15,45-0000,1230.0,17.0,1.989,0.7,21.11,43910.0,3.1,16.68,19.52,25.24,34690.0,40600.0,52490.0
16,45-0000,5410.0,4.3,6.578,2.31,20.65,42950.0,2.9,14.0,17.05,23.51,29130.0,35460.0,48900.0
17,45-0000,5700.0,8.4,0.948,0.33,21.13,43950.0,1.4,16.98,19.39,22.98,35320.0,40320.0,47790.0
18,45-0000,3480.0,7.7,1.103,0.39,20.35,42320.0,2.5,16.0,19.14,23.45,33290.0,39820.0,48770.0
19,45-0000,5590.0,4.1,3.616,1.27,21.16,44010.0,1.6,17.29,20.52,23.02,35970.0,42690.0,47880.0
20,45-0000,3660.0,5.0,2.589,0.91,19.11,39740.0,1.4,15.0,18.01,21.67,31200.0,37450.0,45070.0
21,45-0000,2300.0,8.1,1.17,0.41,18.77,39030.0,2.5,14.2,17.78,22.42,29540.0,36980.0,46630.0
22,45-0000,2940.0,8.0,1.59,0.56,22.62,47060.0,1.7,16.3,22.35,26.86,33900.0,46490.0,55880.0
23,45-0000,2240.0,8.4,3.598,1.26,21.46,44630.0,1.7,18.13,21.25,23.32,37720.0,44200.0,48510.0
24,45-0000,3400.0,11.2,1.27,0.45,20.11,41820.0,2.0,16.32,17.64,22.71,33950.0,36690.0,47250.0
25,45-0000,2630.0,18.0,0.723,0.25,22.35,46490.0,3.0,17.66,20.34,25.6,36740.0,42300.0,53240.0
26,45-0000,6320.0,7.0,1.454,0.51,20.51,42660.0,1.3,16.53,18.11,22.47,34380.0,37680.0,46740.0
27,45-0000,3520.0,7.0,1.222,0.43,22.15,46080.0,2.0,16.97,21.57,26.5,35300.0,44870.0,55120.0
28,45-0000,4050.0,4.6,3.524,1.24,19.79,41170.0,2.6,14.77,18.06,23.83,30730.0,37560.0,49560.0
29,45-0000,5690.0,5.4,1.979,0.7,18.78,39060.0,1.2,14.83,17.76,21.45,30850.0,36940.0,44620.0
30,45-0000,2110.0,6.0,4.204,1.48,20.93,43530.0,1.5,15.97,19.46,24.09,33220.0,40470.0,50110.0
31,45-0000,2880.0,6.0,2.876,1.01,21.51,44730.0,1.2,18.0,21.06,23.92,37440.0,43800.0,49750.0
32,45-0000,940.0,13.4,0.632,0.22,20.05,41710.0,3.6,15.53,17.58,23.54,32310.0,36570.0,48960.0
